file,title_guess,source_page_url,matched
charts/bangs-for-diamond-face-chart.csv,,https://faceformfinder.com/bangs-for-diamond-face,yes
charts/bangs-for-oblong-face-chart.csv,,https://faceformfinder.com/bangs-for-oblong-face,yes
charts/bangs-for-square-face-chart.csv,,https://faceformfinder.com/bangs-for-square-face,yes
charts/bangs-for-triangle-face-chart.csv,,https://faceformfinder.com/bangs-for-triangle-face,yes
charts/beard-styles-for-heart-face-chart.csv,,https://faceformfinder.com/beard-styles-for-heart-face,yes
charts/beard-styles-for-oblong-face-chart.csv,,https://faceformfinder.com/beard-styles-for-oblong-face,yes
charts/beard-styles-for-oval-face-chart.csv,,https://faceformfinder.com/beard-styles-for-oval-face,yes
charts/beard-styles-for-round-face-chart.csv,,https://faceformfinder.com/beard-styles-for-round-face,yes
charts/beard-styles-for-square-face-chart.csv,,https://faceformfinder.com/beard-styles-for-square-face,yes
charts/bob-haircut-for-oval-face-chart.csv,,https://faceformfinder.com/bob-haircut-for-oval-face,yes
charts/bob-haircut-for-round-face-chart.csv,,https://faceformfinder.com/bob-haircut-for-round-face,yes
charts/bob-haircut-for-square-face-chart.csv,,https://faceformfinder.com/bob-haircut-for-square-face,yes
charts/glasses-for-diamond-face-shape-chart.csv,,https://faceformfinder.com/glasses-for-diamond-face-shape,yes
charts/glasses-for-oblong-face-chart.csv,,https://faceformfinder.com/glasses-for-oblong-face,yes
charts/hair-length-chart.csv,,https://faceformfinder.com/hair-length-chart,yes
charts/haircut-for-chubby-face-chart.csv,,https://faceformfinder.com/haircut-for-chubby-face,yes
charts/hairstyle-for-chubby-face-male-chart.csv,,https://faceformfinder.com/hairstyle-for-chubby-face-male,yes
charts/heart-face-glasses-size-chart.csv,,https://faceformfinder.com/glasses-for-heart-shaped-face,yes
charts/how-to-find-your-face-shape-measurement-sheet.csv,,https://faceformfinder.com/how-to-find-your-face-shape,yes
charts/oval-face-glasses-size-chart.csv,,https://faceformfinder.com/glasses-for-oval-face,yes
charts/pixie-cut-for-oval-face-chart.csv,,https://faceformfinder.com/pixie-cut-for-oval-face,yes
charts/pixie-cut-for-round-face-chart.csv,,https://faceformfinder.com/pixie-cut-for-round-face,yes
charts/pixie-cut-for-square-face-chart.csv,,https://faceformfinder.com/pixie-cut-for-square-face,yes
charts/round-face-glasses-size-chart.csv,,https://faceformfinder.com/glasses-for-round-face,yes
charts/square-face-glasses-size-chart.csv,,https://faceformfinder.com/glasses-for-square-face,yes
charts/sunglasses-for-heart-shaped-face-chart.csv,,https://faceformfinder.com/sunglasses-for-heart-shaped-face,yes
charts/sunglasses-for-oval-face-chart.csv,,https://faceformfinder.com/sunglasses-for-oval-face,yes
charts/sunglasses-for-round-face-chart.csv,,https://faceformfinder.com/sunglasses-for-round-face,yes
charts/sunglasses-for-round-face-size-chart.csv,,https://faceformfinder.com/sunglasses-for-round-face,yes
charts/sunglasses-for-square-face-chart.csv,,https://faceformfinder.com/sunglasses-for-square-face,yes
face-shape-measurement-methods.csv,,https://faceformfinder.com/how-to-find-your-face-shape,yes
face-shape-classification-pattern.csv,,https://faceformfinder.com/face-shape-chart,yes
